time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-27 03:27:27.231351608 UTC,Test3291.java,5892670633207096548,Unsat,,0.013122608s,0.039711639s,23,16,5
2026-05-27 03:27:33.755796996 UTC,Test3292.java,3612392494237214364,Unsat,,0.013811463s,0.047667456s,24,4,2
2026-05-27 03:27:40.150833764 UTC,Test3293.java,9280117924505162538,Unsat,,0.014510709s,0.045624506s,26,4,2
2026-05-27 03:27:46.60290711 UTC,Test3294.java,9531418474193418431,Unsat,,0.018842899s,0.115028251s,85,29,5
2026-05-27 03:27:53.442940393 UTC,Test3295.java,10619878743231329915,Unsat,,0.022126893s,0.277948118s,95,28,6
2026-05-27 03:28:00.714366317 UTC,Test3296.java,12948020482312483151,Unsat,,0.100309512s,0.372325148s,136,32,5
2026-05-27 03:28:08.309452901 UTC,Test3297.java,510624961044747712,VerificationError,"IfTrue: expected one successor but got: 2",0s,0.410778439s,166,38,2
2026-05-27 03:28:15.996128312 UTC,Test3298.java,2318170064759296678,Unsat,,0.023703353s,0.17877812s,121,28,2
2026-05-27 03:28:23.098462824 UTC,Test3299.java,4478197911034924156,Unsat,,0.02334733s,0.136422112s,121,20,2
2026-05-27 03:28:30.115731774 UTC,Test3300.java,4592091921635894240,Unsat,,0.016160025s,0.062337795s,32,4,2
2026-05-27 03:28:36.75906344 UTC,Test3301.java,17536909879353559873,Unsat,,0.023407109s,0.157548558s,121,28,4
2026-05-27 03:28:43.773827013 UTC,Test3302.java,7920613721643204328,Unsat,,0.011766324s,0.044321099s,34,8,2
2026-05-27 03:28:50.233855491 UTC,Test3303.java,17477626472955358601,Unsat,,0.013392069s,0.122868402s,31,24,2
2026-05-27 03:28:56.832335668 UTC,Test3304.java,18403647804827210151,Unsat,,0.013739358s,0.038116057s,16,4,2
2026-05-27 03:29:03.292827792 UTC,Test3305.java,3116985518876348552,Unsat,,0.029932207s,0.245116482s,163,65,16
2026-05-27 03:29:10.457592963 UTC,Test3306.java,5394804987702192617,Unsat,,0.01171269s,0.036309441s,25,4,2
2026-05-27 03:29:16.972420712 UTC,Test3307.java,16086761867399978227,Unknown,timeout,46.722694112s,46.94098577s,187,48,6
2026-05-27 03:30:10.619093599 UTC,Test3308.java,4794056259019981397,Unknown,timeout,45.351450309s,45.418058957s,81,8,6
2026-05-27 03:31:02.577946646 UTC,Test3309.java,8037063187355163032,Unknown,timeout,47.642389956s,47.847447531s,191,58,10
2026-05-27 03:31:57.262258535 UTC,Test3310.java,11398412416535090331,Unsat,,0.016796933s,0.087556472s,61,12,2
2026-05-27 03:32:04.164879801 UTC,Test3311.java,18394197003464843938,Unsat,,0.024060059s,0.125652894s,105,20,2
2026-05-27 03:32:11.12283695 UTC,Test3312.java,550411471895557803,Unknown,timeout,45.622211496s,45.675331122s,51,4,2
2026-05-27 03:33:03.102833267 UTC,Test3313.java,2860247508443980283,Unsat,,0.01793719s,0.095449642s,73,12,4
2026-05-27 03:33:09.966404357 UTC,Test3314.java,5023111079874624444,Unsat,,0.018994771s,0.116973383s,98,12,2
2026-05-27 03:33:16.960932073 UTC,Test3315.java,8101586856724909373,Unsat,,0.969753554s,1.223051591s,112,24,2
2026-05-27 03:33:24.64517977 UTC,Test3316.java,18416399332599006695,Unknown,timeout,47.053875895s,47.135355975s,94,24,5
2026-05-27 03:34:18.599027292 UTC,Test3317.java,17404724666864786460,Unsat,,0.017970897s,0.071114977s,50,4,2
2026-05-27 03:34:25.396458357 UTC,Test3318.java,8820801797221051861,Unsat,,0.018441719s,0.093732282s,65,12,2
2026-05-27 03:34:32.431078729 UTC,Test3319.java,10956057912960828950,Unsat,,0.024576927s,0.158281217s,101,20,2
2026-05-27 03:34:39.641734084 UTC,Test3320.java,16406907137289545683,Unsat,,0.022076485s,0.130652256s,87,21,2
2026-05-27 03:34:46.803558436 UTC,Test3321.java,11760443313369892192,Unsat,,0.024871462s,0.090213833s,61,12,2
2026-05-27 03:34:54.052798654 UTC,Test3322.java,18241912731016679711,Unsat,,0.017224115s,0.067067722s,43,4,3
2026-05-27 03:35:00.890435398 UTC,Test3323.java,2709399619344280962,Unsat,,0.023434055s,0.110111884s,93,20,9
2026-05-27 03:35:07.532317258 UTC,Test3324.java,313538682811117742,Unsat,,0.035502167s,0.240042111s,174,48,10
2026-05-27 03:35:14.754766076 UTC,Test3325.java,9790424919465769659,Unsat,,0.03266628s,0.2232386s,181,52,8
2026-05-27 03:35:21.806305513 UTC,Test3326.java,5809401072638138706,Unsat,,0.016278806s,0.10324534s,93,24,3
2026-05-27 03:35:28.936479981 UTC,Test3327.java,10636573518764540855,VerificationError,"IfFalse: expected one successor but got: 2",0s,0.250372886s,218,73,17
2026-05-27 03:35:36.034168541 UTC,Test3328.java,9031279486165647298,Unsat,,0.013464474s,0.043743757s,18,4,2
2026-05-27 03:35:42.453072984 UTC,Test3329.java,6872249617206690894,Unknown,timeout,46.130743538s,46.263245309s,147,20,2
2026-05-27 03:36:35.575056475 UTC,Test3330.java,9021117925139166902,Unsat,,0.019918454s,0.113885421s,85,20,2
2026-05-27 03:36:42.505775716 UTC,Test3331.java,5889444406816431196,Unsat,,0.0173495s,0.101722924s,84,12,4
2026-05-27 03:36:49.216618077 UTC,Test3332.java,18261371519158583794,Unsat,,0.016249584s,0.083755322s,61,12,2
2026-05-27 03:36:56.199918285 UTC,Test3333.java,7074389325859227882,Unsat,,0.020651178s,0.118117555s,91,20,2
2026-05-27 03:37:03.071280713 UTC,Test3334.java,12369196026124544341,Unsat,,0.023561658s,0.118524087s,103,12,2
2026-05-27 03:37:10.044354487 UTC,Test3335.java,5116790152484889804,Unsat,,0.016938427s,0.067336936s,42,4,3
2026-05-27 03:37:16.464933679 UTC,Test3336.java,5933589169791137296,Unsat,,3.127306167s,3.349354666s,127,68,16
2026-05-27 03:37:26.833346727 UTC,Test3337.java,5647416348818502879,Unsat,,0.016767364s,0.088182109s,62,12,4
2026-05-27 03:37:33.611649698 UTC,Test3338.java,18051414557905454023,Unsat,,0.020544526s,0.113487623s,91,20,2
2026-05-27 03:37:40.74950458 UTC,Test3339.java,10074131000510716114,Unsat,,0.012485427s,0.032946244s,15,4,2
2026-05-27 03:37:47.211374212 UTC,Test3340.java,3480294254352671113,Unsat,,7.732179916s,7.862153687s,104,56,11
2026-05-27 03:38:01.873514787 UTC,Test3341.java,7933375953738245894,Unsat,,0.019150624s,0.135209515s,100,20,2
2026-05-27 03:38:08.802254078 UTC,Test3342.java,12175736876061558593,Unsat,,0.015762054s,0.078526148s,43,12,2
2026-05-27 03:38:15.653634783 UTC,Test3343.java,10176223158313219705,Unsat,,0.017699119s,0.135845762s,71,20,6
2026-05-27 03:38:22.628092086 UTC,Test3344.java,8247618583283785477,Unknown,timeout,45.46888848s,45.571678948s,99,12,2
2026-05-27 03:39:15.107239829 UTC,Test3345.java,17797255716788176751,Unsat,,0.022471311s,0.092596095s,69,12,2
2026-05-27 03:39:22.019452937 UTC,Test3346.java,17186152889669323587,Unsat,,0.017003745s,0.074247772s,57,12,2
2026-05-27 03:39:28.93375523 UTC,Test3347.java,164506441161397691,Unsat,,0.027968807s,0.148861381s,119,32,7
2026-05-27 03:39:35.910625043 UTC,Test3348.java,6150051250353874073,Unsat,,0.017867258s,0.082059035s,69,12,2
2026-05-27 03:39:42.72265007 UTC,Test3349.java,16142194852219336606,Unknown,timeout,45.732465917s,46.12723668s,128,66,12
2026-05-27 03:40:35.838866761 UTC,Test3350.java,9204833844597957511,Unsat,,0.029376764s,0.112897302s,61,16,7
2026-05-27 03:40:42.430589594 UTC,Test3351.java,11805126584246292259,Unsat,,10.181963779s,10.438144763s,204,76,33
2026-05-27 03:40:59.79066108 UTC,Test3352.java,6029969940226729785,Unsat,,0.018722129s,0.062806613s,44,4,2
2026-05-27 03:41:06.426024125 UTC,Test3353.java,13644373837750658243,Unsat,,0.017419086s,0.073923578s,40,12,4
2026-05-27 03:41:13.021154748 UTC,Test3354.java,15069539351599857696,Unknown,timeout,45.771789199s,45.881159973s,114,20,4
2026-05-27 03:42:05.71615266 UTC,Test3355.java,4698037292730034098,Unsat,,0.012300361s,0.041669476s,15,4,2
2026-05-27 03:42:12.107312081 UTC,Test3356.java,17067405467865627341,Unsat,,0.018160917s,0.357072471s,115,56,11
2026-05-27 03:42:19.667779869 UTC,Test3357.java,14854723768944222909,Unsat,,0.01427854s,0.055928837s,34,4,2
2026-05-27 03:42:26.119194252 UTC,Test3358.java,8892765017010176017,Unsat,,0.029041275s,0.197073602s,163,28,4
2026-05-27 03:42:33.147945535 UTC,Test3359.java,2859024363195141065,Unknown,timeout,46.18401655s,46.260439075s,81,16,2
2026-05-27 03:43:26.08301237 UTC,Test3360.java,11066211864522373678,Unsat,,0.013056872s,0.045009458s,16,4,2
2026-05-27 03:43:32.237177772 UTC,Test3361.java,10296968598842482108,Unsat,,0.013782331s,0.04271864s,18,4,2
2026-05-27 03:43:38.377967633 UTC,Test3362.java,8280881222545160603,Unsat,,0.019185001s,0.090890467s,81,12,2
2026-05-27 03:43:44.974319672 UTC,Test3363.java,2609361515924429310,Unsat,,0.015808679s,0.069105584s,50,8,2
2026-05-27 03:43:51.214549118 UTC,Test3364.java,3394703670296031789,Unsat,,0.012796432s,0.033687019s,13,4,2
2026-05-27 03:43:57.319719998 UTC,Test3365.java,6915929158311017269,Unsat,,0.019891917s,0.121775673s,95,20,4
2026-05-27 03:44:04.124679596 UTC,Test3366.java,2929664847141833965,Unsat,,0.025095521s,0.157347519s,105,28,2
2026-05-27 03:44:10.954799107 UTC,Test3367.java,13112346263515473015,Unsat,,0.021472774s,0.125582213s,99,20,4
2026-05-27 03:44:17.688029124 UTC,Test3368.java,7053592969580279354,Unsat,,0.016439608s,0.055381117s,46,4,2
2026-05-27 03:44:23.855744781 UTC,Test3369.java,9106264952716199182,Unsat,,0.044287938s,0.50719411s,153,64,7
2026-05-27 03:44:31.41802334 UTC,Test3370.java,18054731204366109042,Unsat,,0.019593329s,0.096111464s,69,12,2
2026-05-27 03:44:38.226082139 UTC,Test3371.java,9445541766462410965,Unsat,,0.011173255s,0.071300306s,24,8,2
2026-05-27 03:44:44.626069861 UTC,Test3372.java,8648797355158253895,Unsat,,0.016026454s,0.083092923s,59,12,2
2026-05-27 03:44:51.193986283 UTC,Test3373.java,386238704296109278,Unsat,,0.014438794s,0.049993604s,42,4,2
2026-05-27 03:44:57.307850736 UTC,Test3374.java,5428868111410062822,Unsat,,0.02035184s,0.134100325s,111,21,4
2026-05-27 03:45:04.00908282 UTC,Test3375.java,13863475606605749345,Unsat,,0.21182217s,0.386927184s,157,36,16
2026-05-27 03:45:11.018175306 UTC,Test3376.java,11150212491744649246,Unsat,,0.01846839s,0.096294991s,79,12,6
2026-05-27 03:45:17.780009654 UTC,Test3377.java,11396342464724224105,Unsat,,0.019402092s,0.082169728s,57,28,3
2026-05-27 03:45:24.479655883 UTC,Test3378.java,7420417472556214567,Unsat,,0.014186141s,0.052555327s,39,4,3
2026-05-27 03:45:30.675835357 UTC,Test3379.java,9583090667693701706,Unsat,,0.02312513s,0.163876084s,115,20,2
2026-05-27 03:45:37.51315873 UTC,Test3380.java,8232227500762458607,Unsat,,0.025844232s,0.174601891s,145,28,2
2026-05-27 03:45:44.277948167 UTC,Test3381.java,664447396350732293,Unsat,,0.018515366s,0.081719599s,54,16,7
2026-05-27 03:45:50.913940086 UTC,Test3382.java,17214909121299618574,Unknown,timeout,45.507992928s,45.828109149s,134,24,4
2026-05-27 03:46:43.782623039 UTC,Test3383.java,12777392597030586019,Unsat,,0.01614936s,0.090471377s,71,12,19
2026-05-27 03:46:50.195363117 UTC,Test3384.java,9021635007451402151,Unsat,,0.02505542s,0.234952345s,161,44,6
2026-05-27 03:46:57.201005224 UTC,Test3385.java,17931799201527652439,Unknown,timeout,45.957169928s,46.255674727s,116,36,2
2026-05-27 03:47:50.647182957 UTC,Test3386.java,5754150524981336384,Unsat,,0.024179138s,0.133297095s,105,32,13
2026-05-27 03:47:57.376094139 UTC,Test3387.java,4524928590899958531,Unsat,,0.011073071s,0.037999174s,13,4,2
2026-05-27 03:48:03.512462703 UTC,Test3388.java,2449696105177182512,Unsat,,0.022073399s,0.138506368s,107,20,5
2026-05-27 03:48:10.311907132 UTC,Test3389.java,8360505793052817099,Unsat,,0.015294308s,0.049801802s,32,4,4
2026-05-27 03:48:16.624330264 UTC,Test3390.java,17999198690467714266,Unsat,,0.019792151s,0.11474s,109,12,2
2026-05-27 03:48:23.596177893 UTC,Test3391.java,14516750637119008488,Unsat,,0.025515921s,0.249382876s,107,20,2
2026-05-27 03:48:30.876793505 UTC,Test3392.java,14255962804407148826,Unsat,,0.019988638s,0.105511379s,69,20,2
2026-05-27 03:48:37.79812809 UTC,Test3393.java,16693243879521478772,Unknown,timeout,45.595198611s,45.710215222s,105,28,2
2026-05-27 03:49:30.337870276 UTC,Test3394.java,9422792171149805728,Unsat,,0.022001039s,0.11731251s,89,28,9
2026-05-27 03:49:37.221447522 UTC,Test3395.java,14085802608402020827,Unsat,,4.090163022s,4.311926674s,203,85,27
2026-05-27 03:49:48.331994904 UTC,Test3396.java,9134172064391677543,Unknown,timeout,46.46241326s,46.614772752s,138,48,7
2026-05-27 03:50:41.692940579 UTC,Test3397.java,10706001361007214249,Unknown,timeout,45.489887098s,45.557412316s,73,12,2
2026-05-27 03:51:33.920948539 UTC,Test3398.java,12792005574377103047,Unsat,,0.014756962s,0.056488688s,40,12,5
2026-05-27 03:51:40.188142993 UTC,Test3399.java,10003660810605228332,Unsat,,0.01899857s,0.099235823s,83,12,6
2026-05-27 03:51:46.974762821 UTC,Test3400.java,16372559641885075592,Unsat,,0.019105116s,0.100783023s,96,12,2
2026-05-27 03:51:53.801600111 UTC,Test3401.java,7975089690084489936,Unsat,,25.391768781s,25.78593414s,143,60,18
2026-05-27 03:52:26.420063735 UTC,Test3402.java,15474654931898760148,Unsat,,0.014135746s,0.037908352s,20,12,3
2026-05-27 03:52:32.645353428 UTC,Test3403.java,16283055791479040600,Unsat,,0.016107755s,0.089853061s,49,12,2
2026-05-27 03:52:39.255764014 UTC,Test3404.java,8116325085272342385,Unknown,timeout,45.732708899s,45.845314836s,107,20,2
2026-05-27 03:53:31.599305763 UTC,Test3405.java,3490175760855619602,Unsat,,0.017568491s,0.073813618s,49,12,2
2026-05-27 03:53:38.184357518 UTC,Test3406.java,9641882758085172557,Unsat,,0.740694033s,0.848164584s,98,29,7
2026-05-27 03:53:45.571149693 UTC,Test3407.java,15231663657820368765,Unsat,,0.020338969s,0.128368181s,109,20,2
2026-05-27 03:53:52.217687433 UTC,Test3408.java,10966756601567955182,Unsat,,0.015914532s,0.067435994s,51,12,2
2026-05-27 03:53:58.853924832 UTC,Test3409.java,9287075544363556171,Unsat,,0.03410146s,0.230642918s,165,54,12
2026-05-27 03:54:05.645033855 UTC,Test3410.java,13616894226985087152,Unsat,,0.013595517s,0.119231159s,35,12,4
2026-05-27 03:54:12.47224916 UTC,Test3411.java,15930143413809452039,Unsat,,0.014738614s,0.055044659s,47,4,2
2026-05-27 03:54:18.656439135 UTC,Test3412.java,280092016070573730,Unknown,timeout,46.02089849s,46.085986577s,66,12,2
2026-05-27 03:55:10.994754449 UTC,Test3413.java,14446527959719175817,Unsat,,0.02598773s,0.156936062s,135,20,2
2026-05-27 03:55:18.000121805 UTC,Test3414.java,2200851067394264470,Unsat,,0.01652847s,0.065709286s,51,12,2
2026-05-27 03:55:24.8227231 UTC,Test3415.java,7699776316096171297,Unsat,,2.86437333s,3.017384221s,105,52,2
2026-05-27 03:55:34.577425398 UTC,Test3416.java,3841921627051103650,Unsat,,0.017724873s,0.086113086s,60,12,3
2026-05-27 03:55:41.449297115 UTC,Test3417.java,9396549452520848983,Unknown,timeout,47.785256271s,47.95815769s,152,36,11
2026-05-27 03:56:36.270697635 UTC,Test3418.java,14447990657565875099,Unknown,timeout,47.472865684s,47.783899506s,130,28,4
2026-05-27 03:57:31.095659547 UTC,Test3419.java,18163183920129757821,Unknown,timeout,46.657152056s,46.876986528s,175,65,12
2026-05-27 03:58:24.87883199 UTC,Test3420.java,9418189896610178280,Unknown,timeout,45.461419237s,45.543892559s,87,12,2
2026-05-27 03:59:17.132585602 UTC,Test3421.java,17728326554887112102,Unsat,,0.014831081s,0.043768619s,28,4,2
2026-05-27 03:59:23.256920299 UTC,Test3422.java,7748386738803044098,Unsat,,0.026049526s,0.172973116s,121,28,2
2026-05-27 03:59:30.335574363 UTC,Test3423.java,5650101744185631049,Unsat,,0.014613775s,0.056087443s,36,4,2
2026-05-27 03:59:36.866960751 UTC,Test3424.java,1027457372989117092,Unknown,timeout,45.723007344s,45.858600956s,129,20,2
2026-05-27 04:00:29.651209406 UTC,Test3425.java,15998510827140988198,Unsat,,0.036692262s,0.159810463s,140,28,2
2026-05-27 04:00:36.507510645 UTC,Test3426.java,15138033167472856456,Unsat,,0.016245701s,0.077334909s,65,12,2
2026-05-27 04:00:43.201187662 UTC,Test3427.java,594271202446942381,Unsat,,0.018634036s,0.10562093s,79,20,2
2026-05-27 04:00:49.820396228 UTC,Test3428.java,5108179277740720745,Unknown,timeout,46.610614419s,46.778430878s,175,36,2
2026-05-27 04:01:43.281652558 UTC,Test3429.java,10986595769924942624,Unsat,,0.011518877s,0.032754034s,10,4,2
2026-05-27 04:01:49.438215507 UTC,Test3430.java,3461251426977939088,Unsat,,0.025486068s,0.134891729s,100,36,11
2026-05-27 04:01:56.165412128 UTC,Test3431.java,16405940642694425789,Unsat,,0.018698999s,0.115582067s,91,20,2
2026-05-27 04:02:02.883896731 UTC,Test3432.java,2057408150155973882,Unsat,,0.018459318s,0.100533473s,97,12,2
2026-05-27 04:02:09.633122299 UTC,Test3433.java,2875860498282419438,Unsat,,0.023982986s,0.17105368s,135,32,9
2026-05-27 04:02:16.552031648 UTC,Test3434.java,8160003797248272840,Unsat,,0.017461648s,0.081132945s,61,12,4
2026-05-27 04:02:23.423641391 UTC,Test3435.java,4759724622239307564,Unsat,,0.031944112s,0.326499373s,216,44,2
2026-05-27 04:02:30.565464855 UTC,Test3436.java,9556779850208929787,Unsat,,0.033676271s,0.192848661s,136,56,11
2026-05-27 04:02:37.616711597 UTC,Test3437.java,6689785017394185419,Unsat,,0.025209084s,0.450139877s,140,44,2
2026-05-27 04:02:44.928461781 UTC,Test3438.java,10647642503684952830,Unsat,,0.014538998s,0.054980229s,30,4,2
2026-05-27 04:02:51.404497093 UTC,Test3439.java,13798048747127838871,Unsat,,0.021986311s,0.139823145s,103,12,2
2026-05-27 04:02:58.413297088 UTC,Test3440.java,3922832686526486062,Unsat,,0.034965019s,0.212673411s,122,60,16
2026-05-27 04:03:05.517523817 UTC,Test3441.java,14432307873649083417,Unsat,,0.026947598s,0.246674273s,115,20,4
2026-05-27 04:03:14.200106405 UTC,Test3442.java,15033275403066712573,Unsat,,0.02197304s,0.175529737s,109,28,4
2026-05-27 04:03:21.122173009 UTC,Test3443.java,1620585527655030813,Unsat,,19.306095337s,19.395329112s,62,12,4
2026-05-27 04:03:47.206843531 UTC,Test3444.java,7560636080313523083,Unsat,,0.02176575s,0.137836676s,103,12,2
2026-05-27 04:03:54.177609776 UTC,Test3445.java,7798732151076998920,Unsat,,0.019182458s,0.136921538s,91,20,4
2026-05-27 04:04:01.064689683 UTC,Test3446.java,7332771912858567941,Unsat,,0.026114158s,0.170118574s,112,44,18
2026-05-27 04:04:07.740020018 UTC,Test3447.java,16892160764723459987,Unsat,,0.011423482s,0.031727281s,13,4,2
2026-05-27 04:04:13.98580073 UTC,Test3448.java,8108842015384997336,Unsat,,3.321853984s,3.543060581s,101,36,6
2026-05-27 04:04:23.907031179 UTC,Test3449.java,3052424238857918324,Unsat,,0.01368561s,0.205069873s,102,24,2
2026-05-27 04:04:30.919717354 UTC,Test3450.java,12263351976602880231,Unsat,,0.011678764s,0.071965005s,6,4,2
2026-05-27 04:04:37.42843275 UTC,Test3451.java,9793246140716106825,Unsat,,0.018466418s,0.076579537s,46,17,9
2026-05-27 04:04:43.569944082 UTC,Test3452.java,12806866168435685008,Unsat,,0.01163645s,0.030296138s,6,4,2
2026-05-27 04:04:49.774728564 UTC,Test3453.java,219934583722118128,Unknown,timeout,45.948964183s,46.207648535s,205,88,36
2026-05-27 04:05:42.679910916 UTC,Test3454.java,15306864322426416489,Unsat,,0.016436838s,0.081120763s,68,12,4
2026-05-27 04:05:49.397511108 UTC,Test3455.java,919083466480449524,Unsat,,0.022692153s,0.12519214s,108,20,2
2026-05-27 04:05:56.16099054 UTC,Test3456.java,6074209140614359977,Unsat,,0.016934484s,0.059533734s,56,4,4
2026-05-27 04:06:02.379473177 UTC,Test3457.java,9552431660739408639,Unsat,,0.026426583s,0.169215702s,135,53,5
2026-05-27 04:06:09.168570737 UTC,Test3458.java,15837194935764157671,Unsat,,0.017704734s,0.08319204s,71,12,2
2026-05-27 04:06:15.65951496 UTC,Test3459.java,6095892617693967212,Unsat,,0.02409805s,0.166264824s,117,28,6
2026-05-27 04:06:22.378206435 UTC,Test3460.java,5047009491550918460,Unsat,,0.018582885s,0.098876927s,84,12,2
2026-05-27 04:06:28.894431 UTC,Test3461.java,1606202280544792913,Unsat,,0.010909095s,0.035646273s,17,4,2
2026-05-27 04:06:35.019826754 UTC,Test3462.java,3803802175833846960,Unknown,timeout,45.301685128s,45.552307618s,88,33,6
2026-05-27 04:07:26.895697124 UTC,Test3463.java,8393943692963934270,Unsat,,4.558121975s,4.750314781s,140,32,15
2026-05-27 04:07:38.333566344 UTC,Test3464.java,17956678129592581600,Unsat,,0.020287166s,0.109045404s,95,20,2
2026-05-27 04:07:44.968610906 UTC,Test3465.java,14520164634790201791,Unsat,,0.017159937s,0.104305112s,78,12,8
2026-05-27 04:07:51.647930011 UTC,Test3466.java,10350313145805110462,Unknown,timeout,48.351325193s,48.616847563s,223,104,30
2026-05-27 04:08:46.990295925 UTC,Test3467.java,9236393734014894689,Unsat,,0.015527416s,0.086273252s,78,4,2
2026-05-27 04:08:53.221082212 UTC,Test3468.java,12679321442080671048,Unsat,,0.015229569s,0.056515558s,42,4,2
2026-05-27 04:08:59.556509235 UTC,Test3469.java,6309087537731484935,Unsat,,0.023366232s,0.281469498s,119,28,2
2026-05-27 04:09:06.656125327 UTC,Test3470.java,18093558087974787344,Unsat,,0.018516238s,0.193316129s,79,20,2
2026-05-27 04:09:13.770913144 UTC,Test3471.java,15344733248365294116,Unknown,timeout,46.00427991s,46.130818509s,120,32,2
2026-05-27 04:10:06.514307602 UTC,Test3472.java,9144020815160431774,Unsat,,0.017933961s,0.064088724s,42,12,2
2026-05-27 04:10:12.857571269 UTC,Test3473.java,12030121605543173103,Unsat,,0.01163852s,0.038824632s,38,4,2
2026-05-27 04:10:19.352115738 UTC,Test3474.java,3767460973871378155,Unsat,,0.016240363s,0.050075025s,8,4,2
2026-05-27 04:10:25.683776418 UTC,Test3475.java,12211225445028039269,Unsat,,0.011567309s,0.029949046s,7,4,2
2026-05-27 04:10:32.170865698 UTC,Test3476.java,5115603686334900836,Unsat,,0.01957045s,0.103492682s,78,12,5
2026-05-27 04:10:39.18094631 UTC,Test3477.java,13570596614061672993,Unknown,timeout,46.368972146s,46.586254345s,195,36,4
2026-05-27 04:11:32.799890591 UTC,Test3478.java,13884552070225002643,Unsat,,2.274784306s,2.420792189s,136,65,5
2026-05-27 04:11:41.980204797 UTC,Test3479.java,2968967980324687426,Unsat,,0.022993695s,0.212302843s,141,28,4
2026-05-27 04:11:48.794401435 UTC,Test3480.java,10191383404468249217,Unknown,timeout,46.585720691s,46.702621468s,111,20,2
2026-05-27 04:12:42.214149827 UTC,Test3481.java,6404464404795896944,Unsat,,0.037561133s,0.155743582s,115,40,6
2026-05-27 04:12:49.049941165 UTC,Test3482.java,15639458562460262833,Unsat,,0.017430446s,0.086114171s,59,12,2
2026-05-27 04:12:55.637753222 UTC,Test3483.java,15448089682957185689,Unknown,timeout,48.233521703s,48.814687842s,240,76,12
2026-05-27 04:13:51.366517821 UTC,Test3484.java,14329724934842678905,Unsat,,0.023323243s,0.18394754s,121,28,2
2026-05-27 04:13:58.125154777 UTC,Test3485.java,16458437736220821044,Unsat,,0.015253332s,0.059277135s,39,12,2
2026-05-27 04:14:04.633321138 UTC,Test3486.java,15509970940280736402,Unsat,,0.012369905s,0.055779035s,34,19,6
2026-05-27 04:14:10.857206045 UTC,Test3487.java,13437246697031115903,Unsat,,0.014602246s,0.040013351s,20,4,2
2026-05-27 04:14:17.128263642 UTC,Test3488.java,5454985527145096177,Unsat,,0.013815604s,0.043431623s,24,4,2
2026-05-27 04:14:23.551347852 UTC,Test3489.java,14439686358827355587,Unsat,,0.028627155s,0.481764422s,135,56,10
2026-05-27 04:14:30.79028683 UTC,Test3490.java,16989065899217152003,Unsat,,0.019948259s,0.122312046s,85,12,6
2026-05-27 04:14:37.574623897 UTC,Test3491.java,7466327114694552900,Unknown,timeout,45.849462215s,46.031381903s,141,61,15
2026-05-27 04:15:30.37308922 UTC,Test3492.java,10798843053195134517,Unknown,timeout,46.226383421s,46.473446064s,192,116,30
2026-05-27 04:16:23.674384511 UTC,Test3493.java,18285817817919641958,Unsat,,0.014970255s,0.050935473s,43,4,2
2026-05-27 04:16:30.119664559 UTC,Test3494.java,7355167303281886094,Unsat,,0.023240053s,0.087965604s,67,12,2
2026-05-27 04:16:37.080234495 UTC,Test3495.java,17171500982821055893,Unsat,,0.019537633s,0.110831148s,91,20,2
2026-05-27 04:16:44.45828521 UTC,Test3496.java,6615994763310234721,Unsat,,0.018442307s,0.083945144s,69,12,2
2026-05-27 04:16:51.244890269 UTC,Test3497.java,10302630301460870052,Unsat,,0.014855815s,0.05956815s,33,12,2
2026-05-27 04:16:58.211469412 UTC,Test3498.java,2497950899932824424,Unsat,,0.021899467s,0.185532265s,122,40,2
2026-05-27 04:17:05.32113046 UTC,Test3499.java,11393091467671339884,Unknown,timeout,46.218100026s,46.611272777s,157,48,7
2026-05-27 04:17:58.969427437 UTC,Test3500.java,13206610321429127970,Unsat,,0.014071358s,0.039785898s,8,4,2
2026-05-27 04:18:05.301631307 UTC,Test3501.java,16553918307184867576,Unsat,,0.023010856s,0.146342032s,139,20,2
2026-05-27 04:18:12.187112385 UTC,Test3502.java,10568127873441457119,Unsat,,0.025410638s,0.122329299s,132,20,7
2026-05-27 04:18:18.637925808 UTC,Test3503.java,16617983988095781171,Unsat,,0.285812164s,0.663808203s,131,53,6
2026-05-27 04:18:26.021810233 UTC,Test3504.java,3849123714915954133,Unknown,timeout,45.519073196s,45.729325748s,171,78,15
2026-05-27 04:19:18.463583493 UTC,Test3505.java,7633430648677685439,Unsat,,0.031962863s,0.2006055s,140,45,9
2026-05-27 04:19:25.224077794 UTC,Test3506.java,13689121698449880852,Unsat,,0.023208463s,0.114151937s,76,42,11
2026-05-27 04:19:31.589250033 UTC,Test3507.java,4496241936909961508,Unsat,,0.011561783s,0.03737172s,11,4,2
2026-05-27 04:19:37.836140641 UTC,Test3508.java,10950345636551392858,Unsat,,0.023709175s,0.138242613s,127,20,2
2026-05-27 04:19:44.713632492 UTC,Test3509.java,10196987575394351418,Unsat,,0.01287167s,0.036966216s,14,4,2
2026-05-27 04:19:50.977552666 UTC,Test3510.java,15729258378525377171,Unsat,,0.013488886s,0.043202349s,22,4,2
2026-05-27 04:19:57.413421744 UTC,Test3511.java,5326797463956730276,Unsat,,0.016087643s,0.078875962s,61,12,2
2026-05-27 04:20:04.298503523 UTC,Test3512.java,4362389057523340433,Unsat,,0.015389147s,0.046823477s,32,4,2
2026-05-27 04:20:10.569327402 UTC,Test3513.java,6259106515772821024,Unsat,,0.017373387s,0.099478788s,65,12,2
