time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:29:02.462051522 UTC,Test52.java,14440787885879741904,Unsat,,0.016541178s,0.066580985s,53,4,3
2026-05-26 15:29:07.315754048 UTC,Test53.java,10299543620754401609,Unsat,,0.035739531s,0.333323102s,195,60,8
2026-05-26 15:29:13.22413049 UTC,Test54.java,1285348818272693773,Unsat,,0.019328897s,0.090506004s,71,12,2
2026-05-26 15:29:18.685970545 UTC,Test55.java,17932124379807223569,Unknown,timeout,45.609271386s,45.694148681s,96,12,2
2026-05-26 15:30:09.708779118 UTC,Test56.java,13961234877388898328,Unknown,timeout,46.217090667s,46.396358049s,125,28,2
2026-05-26 15:31:01.512514396 UTC,Test57.java,1251451556132934686,Unsat,,0.030535745s,0.222521662s,155,60,3
2026-05-26 15:31:07.392611257 UTC,Test58.java,2415389827191174743,Unknown,timeout,45.766403742s,45.837505002s,73,12,2
2026-05-26 15:31:58.636411874 UTC,Test59.java,13889898376666674894,Unsat,,0.013754497s,0.133321009s,29,12,4
2026-05-26 15:32:04.351857521 UTC,Test60.java,13764121422447918569,Unsat,,0.018576038s,0.060941861s,58,4,2
2026-05-26 15:32:09.434168833 UTC,Test61.java,5375666494145526490,Unsat,,0.02933619s,0.099113919s,74,12,2
2026-05-26 15:32:15.034046269 UTC,Test62.java,8324998350057746910,Unsat,,0.013531735s,0.037978486s,11,4,2
2026-05-26 15:32:20.206343665 UTC,Test63.java,6811695707527948878,Unsat,,0.029474249s,0.096197024s,66,4,2
2026-05-26 15:32:25.456965669 UTC,Test64.java,14619054284713706905,Unknown,timeout,45.171258511s,45.249698398s,73,24,9
2026-05-26 15:33:16.214145627 UTC,Test65.java,8497217824758796782,Unsat,,0.020342629s,0.137166036s,91,20,4
2026-05-26 15:33:21.581275104 UTC,Test66.java,4878241563624188940,Unsat,,0.014606824s,0.050439659s,16,4,2
2026-05-26 15:33:26.406404402 UTC,Test67.java,1104093598078767707,Unsat,,0.017768803s,0.047805218s,33,4,2
2026-05-26 15:33:31.374114042 UTC,Test68.java,1824005718325007599,Unsat,,0.036910322s,0.616423353s,164,68,14
2026-05-26 15:33:37.597037784 UTC,Test69.java,1003667231487605342,Unsat,,0.015592729s,0.053654162s,36,4,2
2026-05-26 15:33:42.536807325 UTC,Test70.java,1351206634386449961,Unsat,,1.6307108s,1.698193837s,87,12,4
2026-05-26 15:33:49.163379952 UTC,Test71.java,14844430488343947300,Unsat,,0.018391151s,0.08203997s,52,12,2
2026-05-26 15:33:54.739250236 UTC,Test72.java,7044666389994023269,Unsat,,0.026643476s,0.226482983s,147,28,4
2026-05-26 15:34:00.314152769 UTC,Test73.java,15243637844135803994,Unsat,,0.028104729s,0.370022691s,133,28,4
2026-05-26 15:34:06.629306878 UTC,Test74.java,7710891529295333199,Unknown,timeout,47.057954398s,47.178446967s,63,12,2
2026-05-26 15:34:59.237707159 UTC,Test75.java,16918731314182638740,Unsat,,0.021036344s,0.148589215s,89,24,3
2026-05-26 15:35:05.058204273 UTC,Test76.java,9877508685503368945,Unsat,,11.139354917s,11.258571531s,124,36,7
2026-05-26 15:35:21.823236441 UTC,Test77.java,7500340463426791306,Unknown,timeout,46.276343375s,46.668597226s,134,36,7
