time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time
2026-04-15 08:34:04.383725375 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test13.java,0,Unsat,,0.032934598s,0.095749745s
2026-04-15 08:34:09.214960507 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test4.java,0,Sat,"Right Satisfiable. Model:\n  parm10 = 0 :: Int64\n  parm12 = 0 :: Int32\n  parm13 = 0 :: Int32\n  parm14 = 0 :: Int64\n  parm16 = 0 :: Int64\n  parm18 = 0 :: Int64\n  parm20 = 0 :: Int32\n  parm21 = 0 :: Int64\n  parm23 = 0 :: Int64\n  parm25 = 0 :: Int64\n  parm27 = 0 :: Int32\n  parm28 = 0 :: Int32\n  parm29 = 0 :: Int32\n  parm31 = 0 :: Int64\n  parm33 = 0 :: Int32\n  parm34 = 0 :: Int64",0.041876694s,0.26151106s
2026-04-15 08:34:14.61296425 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test1.java,0,Unsat,,0.048585067s,0.457572657s
2026-04-15 08:34:20.011691574 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test6.java,0,Sat,"Right Satisfiable. Model:\n  parm10 = 0 :: Int64\n  parm12 = 0 :: Int32\n  parm13 = 0 :: Int64\n  parm15 = 0 :: Int32\n  parm16 = 0 :: Int32\n  parm17 = 0 :: Int64\n  parm20 = 0 :: Int64\n  parm22 = 0 :: Int32\n  parm23 = 0 :: Int32\n  parm24 = 0 :: Int32",0.036269668s,0.225415968s
2026-04-15 08:34:25.258318858 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test2.java,0,Unsat,,0.023585365s,0.080047058s
